aX,aY,aZ,gX,gY,gZ
-1.186,-0.258,1.650,-280.945,-284.973,-253.723
-1.192,-0.324,1.880,-265.137,-285.034,-234.192
-1.139,-0.359,2.057,-227.173,-259.827,-203.491
-1.086,-0.306,2.250,-237.549,-205.505,-164.917
-1.021,-0.242,2.353,-235.291,-124.329,-131.409
-0.906,-0.184,2.341,-207.275,-27.893,-110.779
-0.902,-0.138,2.174,-182.678,72.021,-100.403
-0.901,-0.075,1.913,-184.387,168.274,-98.206
-0.856,-0.044,1.605,-185.974,247.375,-102.051
-0.846,-0.105,1.246,-168.823,293.579,-109.924
-0.918,-0.196,0.975,-192.688,315.735,-119.263
-0.844,-0.231,0.799,-260.071,319.397,-117.249
-0.682,-0.208,0.762,-284.668,304.626,-99.487
-0.551,-0.238,0.656,-187.561,276.489,-75.806
-0.477,-0.216,0.648,-70.068,246.277,-47.485
-0.447,-0.195,0.641,52.979,217.773,-19.165
-0.432,-0.167,0.641,171.082,194.214,9.949
-0.380,-0.104,0.690,249.329,172.363,43.640
-0.431,0.008,0.768,281.860,157.104,81.604
-0.469,0.103,0.789,295.105,153.381,114.319
-0.380,0.251,0.829,254.700,165.649,141.479
-0.349,0.397,0.825,221.375,186.707,160.156
-0.356,0.512,0.767,213.684,208.191,169.800
-0.374,0.604,0.685,204.468,227.600,173.218
-0.314,0.694,0.617,190.430,243.958,172.119
-0.263,0.779,0.538,207.275,250.000,166.748
-0.307,0.866,0.457,234.192,248.535,161.865
-0.314,0.970,0.365,229.126,245.056,154.114
-0.209,1.072,0.268,200.317,240.662,135.010
-0.141,1.139,0.185,171.570,232.788,106.262
-0.135,1.162,0.113,163.879,215.759,76.599
-0.156,1.137,0.028,161.499,189.087,49.194
-0.156,1.109,-0.036,129.456,155.029,26.062
-0.086,1.091,-0.068,78.796,114.868,6.653
-0.010,1.086,-0.047,41.382,65.796,-9.277
0.039,1.078,0.052,20.386,11.230,-24.353
0.058,1.097,0.247,4.333,-39.795,-39.001
-0.014,1.072,0.415,-3.845,-80.688,-52.979
-0.012,1.048,0.595,-37.964,-101.135,-70.496
0.144,0.997,0.681,-81.543,-108.337,-90.027
0.038,0.950,0.764,-137.024,-110.840,-114.197
-0.075,0.879,0.782,-201.721,-110.229,-135.498
-0.024,0.817,0.802,-258.850,-101.196,-151.001
0.029,0.767,0.869,-265.076,-93.689,-161.682
0.074,0.729,0.938,-183.472,-90.942,-172.729
0.042,0.633,1.006,-59.814,-90.210,-187.988
0.026,0.501,1.089,23.193,-88.745,-209.106
-0.051,0.354,1.200,68.298,-84.656,-227.478
-0.073,0.210,1.287,103.760,-78.003,-240.173
-0.165,0.096,1.319,141.907,-64.758,-241.455
-0.218,0.004,1.308,168.335,-44.189,-229.065
-0.222,-0.122,1.245,164.185,-16.968,-218.323
-0.270,-0.282,1.113,140.320,11.536,-212.341
-0.267,-0.406,1.009,81.360,37.415,-203.613
-0.251,-0.508,0.857,63.843,49.438,-185.120
-0.227,-0.533,0.758,61.890,46.265,-154.846
-0.199,-0.498,0.712,62.805,28.381,-124.329
-0.222,-0.414,0.754,56.152,2.441,-101.013
-0.211,-0.353,0.862,36.377,-21.851,-91.370
-0.163,-0.341,0.993,10.254,-36.682,-99.365
-0.195,-0.433,1.053,8.545,-40.283,-118.103
-0.213,-0.640,1.064,10.437,-34.973,-146.973
-0.255,-0.927,1.042,14.282,-26.367,-179.932
-0.328,-1.246,0.996,36.560,-20.325,-204.468
-0.427,-1.536,0.938,52.307,-18.738,-209.595
-0.459,-1.754,0.867,54.993,-20.447,-194.031
-0.483,-1.903,0.820,51.514,-26.245,-162.354
-0.453,-1.955,0.810,47.852,-34.058,-122.437
-0.473,-1.915,0.833,44.983,-40.588,-74.585
-0.473,-1.805,0.875,51.575,-45.898,-28.076
-0.472,-1.641,0.911,52.246,-47.058,11.047
-0.462,-1.475,0.928,47.974,-43.213,39.307
-0.424,-1.374,0.886,37.170,-34.180,53.040
-0.383,-1.334,0.843,30.762,-25.452,57.495
-0.391,-1.366,0.810,32.410,-22.583,57.373
-0.405,-1.459,0.783,38.330,-23.926,57.617
-0.415,-1.514,0.805,38.330,-26.123,67.688
-0.422,-1.488,0.845,42.114,-31.433,91.675
-0.463,-1.396,0.891,45.227,-38.513,121.155
-0.406,-1.298,0.957,31.982,-39.917,144.043
-0.377,-1.188,0.983,29.907,-34.851,161.804
-0.423,-1.074,0.956,38.574,-25.146,177.734
-0.385,-0.962,0.902,32.715,-10.864,190.552
-0.351,-0.848,0.812,25.879,3.296,199.585
-0.345,-0.734,0.714,30.640,14.038,206.848
-0.387,-0.619,0.606,33.630,20.508,214.539
-0.365,-0.510,0.481,31.189,22.217,221.985
-0.295,-0.382,0.390,21.423,17.334,230.469
-0.268,-0.221,0.351,13.672,0.732,242.249
-0.227,-0.048,0.403,-6.775,-21.667,248.779
-0.160,0.104,0.481,-17.151,-42.664,246.338
-0.146,0.224,0.561,-2.747,-62.378,239.441
-0.166,0.330,0.673,2.563,-81.787,231.934
-0.184,0.446,0.815,5.920,-95.947,225.159
-0.218,0.550,0.935,27.405,-108.704,222.168
-0.266,0.678,1.074,38.269,-121.521,222.107
-0.278,0.825,1.233,30.273,-130.310,220.764
-0.283,0.952,1.366,22.156,-132.690,214.294
-0.300,1.068,1.486,10.925,-127.930,201.294
-0.318,1.161,1.569,-2.014,-115.845,183.472
-0.305,1.231,1.618,-16.785,-96.252,158.813
-0.322,1.276,1.630,-32.959,-72.144,127.808
-0.314,1.294,1.609,-38.513,-47.180,95.154
-0.347,1.315,1.577,-39.307,-24.048,63.538
-0.395,1.331,1.510,-35.706,-4.639,35.400
-0.428,1.357,1.448,-41.382,10.925,13.550
-0.440,1.373,1.372,-42.847,22.339,-7.568
-0.455,1.382,1.302,-44.861,28.198,-30.762
-0.468,1.399,1.259,-59.021,30.151,-56.763
-0.494,1.385,1.203,-70.740,30.701,-86.670
-0.486,1.300,1.121,-87.769,32.532,-120.972
-0.444,1.137,1.059,-121.338,32.104,-162.659
-0.410,0.888,1.017,-151.184,26.917,-212.280
-0.411,0.566,1.004,-168.213,18.860,-262.573
-0.392,0.242,1.058,-179.077,6.836,-302.856
-0.410,-0.080,1.123,-155.090,-6.653,-323.486
-0.459,-0.368,1.178,-114.807,-17.395,-323.120
-0.468,-0.567,1.247,-91.309,-20.569,-301.636
-0.453,-0.667,1.288,-66.833,-14.587,-261.108

-0.525,-1.475,1.302,-122.559,-76.233,-295.959
-0.552,-1.690,1.496,-145.020,-85.876,-274.353
-0.555,-1.855,1.644,-117.249,-87.341,-232.849
-0.567,-1.922,1.761,-89.294,-71.777,-169.922
-0.528,-1.879,1.785,-45.288,-42.664,-96.863
-0.479,-1.718,1.703,-8.240,-2.747,-25.146
-0.426,-1.485,1.503,23.865,38.208,32.410
-0.381,-1.247,1.293,32.471,70.679,71.106
-0.351,-1.083,1.084,37.903,88.196,86.731
-0.290,-1.007,0.922,39.124,91.675,83.435
-0.242,-0.988,0.818,40.344,83.618,72.998
-0.241,-1.004,0.758,50.964,67.627,64.575
-0.243,-1.031,0.749,56.396,48.340,64.331
-0.240,-1.030,0.790,55.054,31.311,73.425
-0.238,-0.992,0.842,58.167,18.494,89.539
-0.258,-0.907,0.873,64.819,12.085,110.657
-0.258,-0.796,0.881,59.753,14.038,131.531
-0.224,-0.676,0.851,47.546,22.156,147.339
-0.211,-0.566,0.784,42.542,32.166,158.630
-0.182,-0.471,0.703,41.931,38.269,165.649
-0.171,-0.387,0.637,48.218,35.889,169.067
-0.148,-0.326,0.608,58.472,24.292,169.495
-0.132,-0.267,0.630,65.430,6.470,167.542
-0.135,-0.198,0.699,64.636,-10.986,166.443
-0.150,-0.138,0.777,67.932,-26.001,165.894
-0.166,-0.091,0.834,64.087,-34.119,163.757
-0.178,-0.040,0.876,52.551,-34.485,161.194
-0.190,0.006,0.881,45.227,-30.823,159.790
-0.229,0.056,0.885,40.039,-28.381,160.339
-0.254,0.125,0.907,31.982,-30.090,164.124
-0.249,0.215,0.955,28.198,-36.377,169.556
-0.246,0.317,1.028,21.729,-44.800,174.194
-0.242,0.417,1.117,13.184,-52.429,174.866
-0.214,0.511,1.199,7.690,-53.833,171.326
-0.206,0.586,1.243,15.137,-48.645,164.978
-0.208,0.658,1.261,28.320,-39.917,159.302
-0.217,0.743,1.262,36.011,-30.579,155.640
-0.217,0.855,1.242,44.495,-20.935,155.212
-0.215,0.998,1.230,46.448,-13.794,155.762
-0.224,1.141,1.213,43.457,-9.521,151.489
-0.227,1.273,1.188,35.522,-5.798,138.916
-0.220,1.374,1.154,23.865,-2.869,118.530
-0.208,1.442,1.123,8.667,-0.977,91.003
-0.194,1.472,1.121,-6.653,-2.319,57.251
-0.196,1.438,1.152,-13.245,-8.545,20.203
-0.228,1.347,1.233,-20.874,-17.761,-15.869
-0.247,1.219,1.324,-26.550,-22.217,-47.974
-0.272,1.090,1.392,-29.602,-19.043,-70.801
-0.264,0.992,1.429,-32.471,-7.751,-86.853
-0.289,0.897,1.399,-26.794,10.315,-99.792
-0.326,0.809,1.292,-12.878,32.471,-109.314
-0.327,0.748,1.144,-4.517,52.795,-114.258
-0.320,0.692,0.974,5.798,65.186,-118.408
-0.319,0.640,0.845,3.113,64.575,-126.221
-0.291,0.574,0.770,-6.531,53.101,-138.306
-0.273,0.489,0.763,-14.771,34.729,-154.175
-0.302,0.367,0.818,-20.996,12.756,-173.096
-0.309,0.201,0.898,-26.489,-5.676,-193.359
-0.306,0.013,1.003,-34.668,-17.395,-211.792
-0.310,-0.179,1.097,-34.302,-23.071,-223.328
-0.338,-0.353,1.176,-27.832,-22.217,-224.609
-0.354,-0.482,1.233,-24.841,-15.137,-215.698
-0.367,-0.564,1.241,-21.240,-1.587,-198.242
-0.375,-0.594,1.187,-16.541,15.625,-175.781
-0.370,-0.575,1.094,-15.259,32.593,-152.954
-0.346,-0.526,0.997,-16.296,42.664,-134.521
-0.324,-0.494,0.910,-15.320,44.128,-126.038
-0.315,-0.499,0.846,-10.254,39.368,-126.160
-0.313,-0.543,0.813,-5.493,30.884,-130.127
-0.332,-0.646,0.809,-3.357,20.264,-135.986
-0.337,-0.785,0.854,-10.681,9.338,-144.104
-0.318,-0.948,0.901,-17.517,1.465,-149.597
-0.301,-1.100,0.950,-16.418,-3.113,-147.034
-0.288,-1.227,0.992,-13.733,-5.249,-136.536
-0.297,-1.317,1.015,-7.385,-4.944,-119.263
-0.294,-1.374,1.013,-4.456,-2.380,-97.534
-0.277,-1.388,1.000,-6.714,3.418,-74.707
-0.253,-1.379,0.964,-5.554,8.728,-52.246
-0.250,-1.356,0.927,-2.563,10.498,-33.630
-0.251,-1.316,0.898,-1.648,10.071,-18.433
-0.254,-1.277,0.864,-0.549,9.338,-5.798
-0.260,-1.271,0.823,0.610,7.446,3.174
-0.258,-1.283,0.811,-3.479,3.479,11.292
-0.241,-1.288,0.818,-4.883,-1.038,21.667
-0.245,-1.258,0.835,1.709,-5.676,36.804
-0.252,-1.185,0.865,9.766,-10.071,54.565
-0.257,-1.086,0.899,14.282,-12.817,71.472
-0.254,-0.984,0.928,13.855,-12.451,85.449
-0.245,-0.881,0.932,9.216,-8.423,96.130
-0.238,-0.788,0.913,7.019,-3.296,104.736
-0.227,-0.702,0.891,7.629,-0.061,112.061
-0.223,-0.622,0.880,8.911,0.305,117.065
-0.238,-0.573,0.855,11.780,-0.244,118.713
-0.235,-0.551,0.812,10.498,0.732,118.469
-0.224,-0.533,0.755,7.812,2.075,119.507
-0.218,-0.499,0.700,11.047,0.732,124.695
-0.205,-0.435,0.677,15.259,-5.310,133.850
-0.190,-0.338,0.707,16.724,-17.212,144.043
-0.182,-0.229,0.777,14.771,-31.860,152.893
-0.177,-0.121,0.875,7.263,-43.396,157.654
-0.188,-0.030,0.963,-0.732,-49.438,157.837
-0.200,0.050,1.023,-3.540,-48.889,156.067
-0.220,0.128,1.067,-4.944,-45.471,155.640
-0.247,0.220,1.108,-6.714,-42.236,156.494
-0.278,0.325,1.140,-6.470,-39.490,159.546
-0.276,0.443,1.167,-5.371,-36.804,162.964
-0.268,0.576,1.190,-3.906,-34.485,166.138
-0.258,0.723,1.213,-0.244,-31.738,167.786
-0.245,0.865,1.224,6.958,-29.785,166.931
-0.246,0.997,1.244,7.019,-28.381,160.156
-0.231,1.094,1.261,0.000,-25.940,145.813
-0.207,1.170,1.284,-4.639,-21.790,126.953
-0.195,1.238,1.296,-1.953,-17.151,108.643
-0.191,1.297,1.315,-0.366,-13.184,90.332
-0.181,1.319,1.327,-6.653,-8.240,67.322
-0.172,1.295,1.314,-17.090,0.916,39.307
-0.159,1.226,1.255,-26.306,13.672,11.780
-0.157,1.150,1.180,-31.738,25.879,-9.521
-0.156,1.090,1.101,-30.090,33.630,-24.109

-0.431,-1.127,1.296,-21.912,-32.166,-158.508
-0.401,-1.189,1.292,-27.344,-15.259,-134.766
-0.368,-1.214,1.230,-28.381,2.197,-111.633
-0.339,-1.221,1.154,-28.748,15.442,-92.224
-0.318,-1.251,1.085,-28.015,20.203,-80.383
-0.294,-1.301,1.046,-28.259,19.775,-72.266
-0.276,-1.341,1.037,-27.771,16.968,-60.669
-0.260,-1.355,1.048,-23.926,12.451,-44.312
-0.243,-1.341,1.077,-19.409,8.606,-26.184
-0.223,-1.307,1.107,-16.357,8.057,-9.155
-0.219,-1.272,1.098,-9.338,12.695,5.066
-0.225,-1.230,1.042,-1.404,21.057,19.409
-0.231,-1.175,0.954,2.441,30.151,34.058
-0.219,-1.097,0.857,4.211,37.476,49.194
-0.216,-0.993,0.750,9.644,40.833,65.308
-0.203,-0.876,0.671,14.648,37.109,80.017
-0.204,-0.767,0.635,14.587,26.611,89.722
-0.194,-0.686,0.644,11.047,12.756,93.323
-0.195,-0.646,0.683,6.714,-0.183,93.140
-0.203,-0.649,0.757,-0.916,-10.193,91.614
-0.203,-0.670,0.835,-9.399,-16.724,92.529
-0.213,-0.662,0.903,-14.526,-19.104,99.304
-0.222,-0.625,0.941,-13.855,-17.883,110.229
-0.214,-0.568,0.956,-15.442,-13.367,120.728
-0.213,-0.515,0.938,-12.695,-8.545,129.028
-0.215,-0.459,0.918,-8.667,-5.981,136.719
-0.219,-0.383,0.899,-5.432,-5.554,146.606
-0.218,-0.289,0.891,-4.089,-6.836,158.142
-0.213,-0.174,0.897,-4.578,-10.193,169.861
-0.229,-0.044,0.925,-4.761,-15.442,180.237
-0.259,0.090,0.970,-4.761,-21.484,187.927
-0.291,0.224,1.025,-5.432,-27.283,193.176
-0.325,0.360,1.097,-7.812,-31.616,196.167
-0.334,0.493,1.159,-8.057,-32.104,197.266
-0.320,0.625,1.220,-10.376,-29.236,195.129
-0.324,0.760,1.255,-7.629,-22.583,191.284
-0.333,0.884,1.267,-4.211,-13.794,186.035
-0.323,0.991,1.259,-7.141,-3.967,175.964
-0.288,1.083,1.239,-12.146,5.554,162.109
-0.278,1.160,1.209,-15.686,13.977,147.095
-0.265,1.222,1.171,-16.907,21.118,131.836
-0.251,1.276,1.124,-17.090,27.283,117.737
