aX,aY,aZ,gX,gY,gZ
-0.577,0.612,2.296,-84.717,-340.027,-14.526
-0.562,0.433,2.567,-121.155,-292.480,-53.650
-0.634,0.116,2.420,-143.982,-218.750,-91.736
-0.571,-0.168,1.805,-118.896,-141.357,-115.295
-0.580,-0.339,1.198,-54.382,-100.952,-117.371
-0.645,-0.491,0.935,-2.502,-106.689,-111.084
-0.699,-0.609,0.904,28.137,-129.089,-99.670
-0.699,-0.677,1.047,50.415,-147.766,-79.041
-0.763,-0.646,1.352,73.547,-161.316,-49.316
-0.743,-0.488,1.836,107.910,-174.255,-14.038
-0.774,-0.300,2.512,127.014,-180.420,17.456
-0.865,-0.150,3.084,105.957,-155.396,32.837
-0.651,-0.010,3.305,70.129,-100.830,31.555
-0.744,-0.029,3.379,27.039,-34.973,16.907
-0.863,-0.181,3.242,-21.240,49.744,5.310
-0.921,-0.330,2.890,-60.486,140.869,2.319
-1.053,-0.453,2.447,-59.509,209.900,9.521
-1.126,-0.519,2.015,-50.232,251.892,18.677
-1.057,-0.507,1.676,-34.607,271.912,26.672
-0.974,-0.382,1.442,10.559,273.010,39.124
-0.842,-0.159,1.378,48.096,264.587,57.800
-0.729,0.074,1.443,76.172,254.333,72.083
-0.666,0.166,1.528,105.164,250.488,68.970
-0.616,0.150,1.537,127.014,259.277,52.856
-0.576,0.146,1.416,153.625,276.245,43.823
-0.573,0.164,1.194,168.823,293.030,41.748
-0.539,0.162,0.978,159.912,304.443,37.781
-0.473,0.137,0.856,140.686,302.063,35.034
-0.433,0.063,0.764,92.957,292.297,32.654
-0.354,-0.034,0.491,37.781,294.739,25.818
-0.276,-0.034,0.083,-16.479,301.392,24.658
-0.150,-0.029,-0.286,-67.810,295.410,29.663
-0.029,-0.120,-0.424,-89.417,268.311,36.011
0.098,-0.117,-0.421,-100.403,232.178,49.744
0.257,-0.025,-0.430,-51.392,192.993,56.335
0.299,0.030,-0.418,69.763,141.663,44.006
0.298,0.016,-0.258,150.574,88.501,22.461
0.294,-0.044,-0.089,168.030,52.551,5.066
0.325,-0.068,-0.028,151.611,39.551,-0.732
0.301,-0.041,-0.088,117.065,39.856,-0.610
0.251,-0.018,-0.247,91.614,41.321,-0.122
0.216,-0.013,-0.432,63.721,32.227,3.357
0.225,0.019,-0.495,0.061,7.935,7.019
0.163,0.016,-0.491,-46.997,-27.161,6.409
0.201,-0.005,-0.406,-76.172,-62.683,4.333
0.219,-0.022,-0.304,-82.825,-92.468,4.944
0.184,-0.003,-0.255,-79.590,-112.549,6.409
0.190,0.021,-0.318,-71.350,-123.718,1.343
0.046,0.024,-0.437,-57.190,-135.254,-8.850
-0.133,-0.020,-0.591,-63.538,-154.419,-20.386
-0.113,-0.089,-0.655,-94.910,-184.326,-26.428
-0.155,-0.090,-0.528,-104.736,-228.943,-20.935
-0.307,0.038,-0.237,-90.454,-272.705,-11.047
-0.305,0.152,0.117,-33.447,-306.824,-5.981
-0.441,0.225,0.665,10.803,-337.097,-8.606
-0.472,0.192,1.264,-3.540,-346.069,-23.315
-0.555,0.119,1.799,-31.372,-334.534,-36.926
-0.610,-0.068,2.049,-85.571,-303.162,-46.692
-0.513,-0.285,1.862,-157.166,-246.765,-54.443
-0.492,-0.379,1.396,-183.350,-195.496,-40.710
-0.471,-0.427,0.973,-176.147,-175.415,-19.043
-0.482,-0.391,0.812,-163.818,-183.899,-4.700
-0.606,-0.299,0.758,-136.719,-200.806,1.526
-0.641,-0.245,0.927,-89.111,-220.093,2.563
-0.661,-0.016,1.642,-14.221,-258.301,9.705
-0.845,0.286,2.762,55.420,-304.687,16.724
-0.951,0.385,3.622,90.515,-313.538,-0.793
-0.945,0.175,4.000,69.580,-266.235,-35.339
-0.883,-0.041,4.000,35.522,-175.598,-54.199
-0.935,-0.144,3.887,22.156,-69.885,-54.626
-1.021,-0.252,3.325,20.630,37.903,-46.448
-1.085,-0.413,2.661,-5.432,126.282,-32.104
-1.147,-0.538,2.161,-34.607,170.410,-18.921
-1.082,-0.596,1.961,-23.193,174.072,-3.540
-1.007,-0.494,1.957,8.240,159.912,26.611
-0.915,-0.267,2.027,42.725,154.724,60.303
-0.826,0.000,2.081,81.970,162.781,79.590
-0.752,0.221,2.066,116.211,182.861,80.078
-0.711,0.316,2.005,137.451,209.778,65.186
-0.672,0.310,1.822,153.198,239.136,44.434
-0.698,0.257,1.553,155.518,263.184,31.372
-0.688,0.200,1.184,125.366,286.743,29.480
-0.627,0.146,0.759,64.209,308.533,30.701
-0.534,0.081,0.395,8.850,314.270,27.161
-0.437,0.036,0.196,-14.465,299.011,23.804
-0.363,0.049,0.140,-18.677,271.545,25.452
-0.276,0.033,0.124,-30.212,245.239,29.480
-0.158,0.000,0.121,-47.180,225.464,33.081
-0.086,-0.013,0.102,-66.467,208.862,36.499
-0.040,-0.052,0.036,-75.378,196.716,33.386
0.027,-0.098,-0.100,-45.044,185.059,20.325
0.060,-0.177,-0.225,5.310,166.748,1.770
0.093,-0.221,-0.271,59.631,140.137,-8.240
0.101,-0.229,-0.277,113.892,111.389,-7.751
0.097,-0.230,-0.245,145.874,83.496,-5.249
0.128,-0.217,-0.229,132.263,62.866,-7.385
0.100,-0.201,-0.316,111.816,52.246,-10.986
0.127,-0.246,-0.543,97.412,47.363,-11.353
0.111,-0.297,-0.792,80.505,39.551,-8.484
0.080,-0.287,-0.975,64.209,17.151,0.366
0.054,-0.209,-1.047,41.077,-19.043,15.930
0.041,-0.098,-0.991,18.311,-63.110,26.672
-0.004,0.004,-0.794,8.728,-108.582,26.245
-0.047,0.104,-0.475,11.780,-147.644,20.508
-0.072,0.205,-0.082,24.048,-178.406,15.686
-0.094,0.303,0.343,10.864,-196.289,10.010
-0.075,0.354,0.675,-33.142,-193.726,-0.916
-0.166,0.309,0.782,-97.839,-170.044,-16.907
-0.178,0.197,0.521,-165.527,-132.141,-36.743
-0.061,0.036,0.170,-220.581,-103.455,-49.316
-0.096,-0.259,-0.099,-226.868,-109.192,-49.683
-0.180,-0.475,-0.191,-205.872,-139.771,-33.630
-0.256,-0.471,-0.061,-188.354,-176.453,-5.249
-0.329,-0.290,0.236,-145.081,-213.318,22.949
-0.322,-0.014,0.613,-80.017,-246.277,39.612
-0.349,0.214,1.086,-27.954,-268.982,39.490
-0.411,0.332,1.537,21.667,-274.597,20.020
-0.508,0.334,1.897,65.247,-261.841,-4.761
-0.560,0.280,2.171,78.796,-238.342,-20.996

-0.585,0.082,2.479,1.404,-179.810,-32.837
-0.534,-0.009,2.335,-61.279,-137.329,-31.250
-0.539,-0.025,2.054,-117.310,-97.717,-19.104
-0.540,-0.057,1.852,-157.776,-80.261,-8.728
-0.462,-0.207,2.114,-138.306,-90.454,-6.042
-0.566,-0.195,2.377,-62.256,-102.783,-1.953
-0.588,-0.319,2.691,0.305,-103.455,-1.892
-0.638,-0.468,2.937,63.721,-89.478,-3.113
-0.638,-0.472,3.039,92.346,-60.730,3.174
-0.633,-0.378,2.993,94.116,-23.254,11.719
-0.617,-0.380,2.861,93.079,12.024,10.925
-0.647,-0.445,2.684,97.473,42.480,3.296
-0.718,-0.585,2.484,97.900,67.078,-2.747
-0.706,-0.742,2.313,85.449,83.679,-0.732
-0.680,-0.702,2.244,67.383,91.309,17.944
-0.684,-0.494,2.200,44.128,100.403,43.457
-0.637,-0.301,2.092,14.954,117.737,57.800
-0.612,-0.210,1.971,-17.761,137.512,60.425
-0.601,-0.168,1.842,-44.678,156.067,57.495
-0.582,-0.109,1.726,-59.021,172.668,54.810
-0.547,-0.004,1.622,-67.383,187.073,54.199
-0.461,0.080,1.507,-50.232,200.928,49.377
-0.485,0.075,1.384,26.489,211.426,34.851
-0.470,0.028,1.235,102.417,218.872,21.545
-0.481,0.019,1.065,132.935,229.675,20.569
-0.471,0.028,0.827,149.719,241.760,25.330
-0.458,0.028,0.599,165.161,246.216,29.053
-0.439,0.021,0.446,167.725,239.685,31.677
-0.390,0.007,0.388,153.320,226.135,35.828
-0.353,0.035,0.394,125.732,212.097,45.288
-0.340,0.136,0.314,70.313,206.726,58.228
-0.290,0.270,0.114,-3.967,213.257,65.674
-0.195,0.290,-0.162,-47.913,215.515,59.692
-0.098,0.238,-0.396,-47.668,203.430,45.898
-0.041,0.185,-0.545,-22.644,180.298,31.494
0.006,0.123,-0.619,7.202,151.794,15.137
0.044,0.074,-0.607,30.701,122.375,1.648
0.059,0.082,-0.559,45.715,97.656,-2.197
0.087,0.101,-0.514,56.946,78.735,-4.028
0.123,0.105,-0.534,74.280,66.406,-12.390
0.120,0.100,-0.668,90.271,60.974,-22.644
0.113,0.102,-0.929,85.022,58.899,-26.001
0.061,0.107,-1.233,51.025,50.171,-22.034
0.055,0.101,-1.494,7.935,25.818,-17.456
-0.000,0.065,-1.633,-7.812,-20.020,-14.832
0.049,0.039,-1.549,-8.789,-85.388,-12.451
0.051,0.143,-1.236,-30.212,-147.278,-4.700
0.051,0.315,-0.904,-47.485,-188.721,-0.549
